SP_PRIMARY	PDB
O95487	3eh1
O95497	4cyy;7sly;7slv;4cyf;7slx;4cyg
O95503	3i90;3gv6
O95544	3pfn
O95551	6q00;5j3s;5j3p;6q01;5ino
O95568	4rfq
O95571	4chl
O95602	7oba;7ob9;7vbb;7vba;7obb;7vbc
O95619	5r68;5vnb;5xtz;5r69;7jfy;5y8v;5vna;7eif
O95628	1ur6;1e4u
O95630	5ixf;3rzv;3rzu;2xze
O95631	7ne1;6fkq;4urt;7ne0;7ndg
O95633	3b4v;2kcx;3sek
O95639	6fbs;6fuw;2d9n;2rhk;6dnh;6urg;6uro;7k95
O95644	1nfa;5sve;1a66
O95661	6naz
O95671	6xi5;2p5x;6xi4
O95684	2d68
O95696	5pt3;5pw6;5ptq;5ptr;5pui;5pun;5pvw;5ppi;5pqb;5pqm;5ptg;5ptt;5ptz;5pv1;5pp0;5ppa;5ppp;5ppq;5pq8;5pqc;5pqv;5pr0;3lyi;5po2;5pop;5pre;5prp;5ps6;5psc;5psi;5psy;5pt1;5pt8;3rcw;7d0o;5ptv;5pve;5ppg;5ppx;5pq3;5pql;5pqn;5pqt;5pra;5gk9;5po1;5pog;5pot;5prq;5psb;5psg;5psz;5po0;5poi;5prl;5prt;5pry;5psx;5po6;5poa;5poe;6maj;5pu2;5pu9;5pv9;5pvb;5pvc;5ppb;5pps;5pq1;5pq6;5pqr;2lq6;5pnx;5pod;5pof;5ptc;7d0r;6mak;5ptx;5pum;5pvj;5pp3;5pp7;5pp9;5pq4;5pqp;5pqq;5pta;5pw1;5amf;5po3;5prk;5prm;5ptf;5pw8;5ptl;5ptm;5pts;5pu6;5pu7;5pv8;5pvq;5puk;5pur;5puu;5pv6;5pvg;5pvk;5pvm;5pvv;5pp6;5ppk;5ppr;5ppy;5ppz;5pq0;5pq2;5pny;5pon;5prg;5pri;5prs;5prw;5ps3;5ps5;5ps7;5psv;5pt2;4z02;5ps9;5pst;5pw5;6in2;5por;5pou;5pro;5prx;5ps4;5psm;5pt5;5pw0;5pw3;7d0p;5ptk;5ptw;5pu5;5pug;5puo;5pus;5puz;5pv4;5pvl;5pvp;5pp1;5pp2;5ppm;5ppu;5pq7;5pr2;5poz;5ppe;5pph;5pqi;5pr6;5pnz;5po9;5poc;5pru;5prv;5psh;5psj;5psp;5pvn;5pvt;5ppl;5pqd;5pqk;5pqs;5pqz;5pr7;5pqg;5pqy;5pr9;5psl;5psn;5pt0;5pvz;5pwb;5pty;5pub;5pul;5puy;5pvd;5pvf;5pq5;5pu1;5pue;5puh;5pux;5pv0;5pq9;5pqe;5pr5;5pr8;5poo;5prd;7d0s;5n49;5ptj;5pvh;5pvi;5pvo;5pp4;5pp5;5ppw;5pr1;5pqf;5pqo;5pth;5ptn;5pvr;5pvx;5po4;5poj;5po7;5pob;5poq;5pov;5ps0;5psa;5psd;5pt4;5pw7;7d0q;5ptu;5pu0;5pu8;5puf;5puv;5pv7;5pso;5psr;5ptb;5pu4;5pud;5pup;5puq;5puw;5pv2;5pvu;5poy;5pp8;5pqa;5ppo;5ppt;5ppv;5pqu;5pqw;5pto;5pua;5puc;5pvs;5pow;5ppc;5ppd;5ppn;2l43;2ku3;5pok;5pol;5pos;5prb;5prf;5prj;5pw2;5pw4;5po5;5ps8;5pss;5psu;5pt6;5pvy;5ame;7lh9;5pox;5ppf;5ppj;5pqh;5pqj;5pr4;5pu3;5puj;5put;5pv3;5pv5;5pva;5pqx;5fg6;5po8;5psf;5psk;5psq;5psw;5pt7;5pt9;5pte;5pw9;5pwa;5poh;5pom;5prh;5prr;5prz;5ps1;5ps2;5pse
O95704	2dyq;2ysc
O95707	6ahr;6ahu
O95711	3b2d
O95714	2keo;6ww4;4l1m;7rgw;3kci;6ww3
O95715	2hdl
O95716	2gf9
O95718	1lo1;6lit;6ln4
O95721	7bv6;4wy4
O95727	4h5s;3rbg
O95747	2v3s;2vwi;7okw;3dak
O95749	2q80;6c57;6g31;6r4v;6c56;6g32
O95750	6nfj;2p23;6ktr;1pwa
O95760	2kll;4kc3
O95777	6qx9;6ahd;7abg;6qw6;6ah0;3jcr;5o9z
O95786	4bpb;2rmj;5f98;7bah;4nqk;6gpg;3ncu;3lrr;3zd7;5f9f;7jl3;7jl1;5f9h;2qfb;4on9;5e3h;3og8;3zd6;4p4h;7bai;2qfd;4ay2;2ykg;3lrn;6kyv;7mk1;2lwd;2lwe
O95793	4dkk;6sdy;6htu;6sdw
O95801	6hfo
O95819	4u3y;4u43;4u41;4u3z;4u45;4zk5;4obp;4zp5;4u42;4obq;5di1;5w5q;4rvt;5j95;4u40;4obo;4u44
O95822	4f0x;2ygw
O95825	7nd2;8a3o
O95831	4fdc;4bur;5kvi;5kvh;4lii;5fmh;5fs8;5fs9;5fs7;4bv6;1m6i;5fs6
O95833	3fy7;3kjy
O95835	4zrk;5brk;7lwh;5b5w
O95838	7d68
O95843	2ggz
O95848	3q91
O95858	7rdb;7rd5
O95861	2wef
O95863	4qli;3w5k;2y48
O95866	6r0x
O95868	7s4g
O95876	7q3d
O95881	2k8v;1sen
O95926	7w5a;7w5b;7a5p;6id1;6qdv;6id0;5mqf;6icz;7w59;5xjc;5yzg
O95931	2l12;4mn3;5epj;3gs2;2k1b;2l1b;6v2r
O95944	1hkf
O95967	2kl7
O95970	5y2z;5y31;5y30
O95971	6ng9;6ng3;7msg;6ngg
O95977	2dco
O95983	2mb7;6cev;6cc8;6ceu;6ccg
O95985	5gvc;5gve
O95989	6woc;2q9p;6pck;6woi;6woh;6wob;6woe;6wof;6wo8;6woa;2fvv;6wod;6wo9;6wog;6wo7;7tn4;6pcl
O95994	2lns;2lnt
O95997	7nj0;7nj1
O95998	7al7
O95999	6gk2;8czo;2mb9;8czd;6bze
O96000	5xth;5xti;5xtc;5xtd
O96006	2ct5
O96007	4ap8;5mpo
O96008	7vdd;7ck6;7cp9;7vd2
O96013	6wlx;4o0v;2x4z;6wly;5vee;2q0n;5xvf;4l67;4xbr;7cmb;4o0x;5ved;5upk;4fif;4fij;4jdj;5bms;4fih;2bva;2cdz;5zjw;4jdh;4fig;4fii;2j0i;4jdi;4jdk;2ov2;4xbu;7cp3;7cp4;5upl;5vef;4o0y;5xvg;4njd;4app;5xva;4fie;5i0b
O96017	4bdb;4bdf;2wtj;2yit;4bda;4a9t;4bdc;4bde;2ycf;2xbj;3i6u;4bdi;2ycr;4bdg;4bdj;2ycs;2wtd;2wti;2w7x;2xm8;4a9s;3va4;2xk9;4a9r;4a9u;4bdd;4bdk;2w0j;2ycq;1gxc;4bdh;2wtc;2yir;3i6w;2cn5;2cn8;2xm9;2yiq
O96018	2yt7;5uws;2yt8
O96019	6ltj;7vdv
O96028	7vln;6xcg;7cro;7lmt;7mdn;5lsu;5vc8;6ue6;7e8d
O96033	5mpo
O96048	2dry;2ds0;2zqo;2zqn;2drz;2rst
O96050	2ksw
O96060	2dj9
O96061	2djc
O96142	3k7y
O96184	3j79;3jbp;3jbo;3jbn;5umd
O96193	3clv
O96214	2pml
O96258	6okk;3j7a;3jbo;3jbn;3jbp
O96269	3jbn;3j7a;3jbo;6okk;3jbp
O96438	1o8x;1qk8;1okd;1ewx;1o85;1o8w;1o7u;1ezk
O96445	4uul;5a1t;4uum;4uun
O96457	2c0k
O96496	1e3j
O96507	2j1q
O96555	1z3g;1z1y;1z27
O96561	5j19
O96693	4kp7;3aua;4gae;3au8;3wqq;3au9;3wqs;3wqr
O96759	2uuv;2uuu
O96763	4llr
O96771	3tze
O96774	4v8p
O96790	1kma
O96870	2mey;2jrk;2jmh
O96910	1t50
O96935	5y3i;4k5l;4zx4;5y1w;4x2u;6eab;5y19;6ea1;4zx5;6ee3;4zw7;4r5v;5y1h;4r5x;4j3b;3q43;4k5o;4zx6;3ebi;5xm7;5y1k;5y1q;5y1s;4r5t;3t8v;6ee4;5y1v;4zw8;4zx3;6eed;3q44;4k5m;6eaa;3ebh;4k5p;5y1t;4zw6;3ebg;6ee6;5y1x;4zw5;6ea2;4k5n;4zw3;5y1r
O96940	2bma
O96989	6raw;6rax;6raz;6ray
O97032	1wrb
O97102	2k1f
O97111	2lc7;1ry4;1rzx;2lc6;5i7z;1x8s
O97143	7rl3;4g7n;5lhx;4nk7
O97148	2pzx;1fjr
O97161	3ztl;3zvj;3zl5;3zlp
O97193	5ofu;5oez;5oey
O97231	3jbn;5umd;3jbo;3jbp;3j79
O97241	2q0v;3e95
O97248	3jbp;3j7a;3jbn;6okk;3jbo
O97249	3j7a;3jbo;3jbn;6okk;3jbp
O97250	5umd;3j79;3jbn;3jbo;3jbp
O97252	2f6i
O97313	3jbo;3j7a;3jbn;3jbp;6okk
O97364	2lu1
O97366	2olg
O97373	6tkl;7phx;6tkj;6tkh;6tkg;6tki
O97389	1jqg
O97428	3u9d;3u9z;1sqk;3u8x;3sjh
O97447	3gak;3gay;2isv;3gb6;3ohi;2isw
O97467	6m20;6rw3;6m2l
O97725	5o31;7qso;7dh0;5ldx;7qsn;5ldw;7qsk;7qsl;7dgz;5lc5;7qsm;7dgr;7qsd;7dkf;7dgq;7dgs
O97775	1t7m;1t7f;1t74;1t76;1t73;1t79;1t7t;1t7r
O97791	2rjm;2rik;1h8b
O97964	2ku4
O98949	1iwa;1bwv
O98950	1bwv;1iwa
P00003	5dfs
P00004	5wve;6k9j;4nfg;3nbs;1hrc;1lc2;1giw;5iy5;6suv;3wc8;2giw;3jbt;3wui;1ocd;3o20;1m60;1i5t;1lc1;2pcb;2frc;2n3b;1fi7;1fi9;4rsz;3o1y;3nbt;1crc;6k9i;5zkv;1akk;1wej;1u75
P00015	2aiu
P00021	1ktd
P00025	1cyc
P00039	3qiu;3qiw;3qib
P00044	1irw;2b0z;2lit;4q5p;4mu8;6gd8;7mri;6rsj;1csv;2gb8;4ye1;2pcc;2hv4;1cri;2b11;2bcn;5cig;5lyc;5cie;1kyo;5klu;5cib;1cty;2b12;6rgi;1chh;1cif;6rsi;6egz;2lir;6gda;7pr2;1ycc;5lft;1crg;2b10;5kpf;1ctz;1csw;1irv;1yfc;3tyi;5cid;1cig;7pr4;2n18;2jti;6gd6;5kke;1cie;4n0k;6p43;6egy;1chi;5ncv;6s8y;1raq;5cic;6y0j;1nmi;1s6v;1csu;1lms;1chj;7bbt;1crh;1rap;4p4q;1fhb;2mhm;1u74;6p41;5t7h;5t8w;6gd7;5cif;5cih;6suy;7pr3;4qao;6rsk;6rsl;1crj;2jqr;3cx5;2ycc;1yic;6gd9;1cih;2orl;6p42;1csx
P00045	1yea;1ytc;3cxh;1yeb
P00078	2yk3
P00080	1hro
P00083	1co6;1io3;1cry
P00091	1hh7;1i8o;1i8p;1fj0
P00094	1c2n;1c2r;1vyd
P00096	155c;1cot
P00099	2exv;5xed;5xec;2pac;3x39;451c;351c;1dvv
P00101	2i8f;1cch;1fi3;1cor
P00106	6q2u
P00118	1kib;1f1f
P00120	1c53
P00122	1gks
P00125	7dgr;5okd;6zft;1ntk;6fo6;1qcr;7r3v;6haw;6nhg;1be3;5klv;1pp9;1l0n;1ntm;5luf;1bgy;6zfu;1bcc;6zfs;6fo2;1sqq;1sqx;1sqp;5gpn;6xvf;7dkf;2ybb;1sqv;4d6u;2bcc;7dgs;2a06;1ppj;1sqb;1nu1;3bcc;6fo0;4d6t;5nmi;7dgq;1ntz;2fyu;1l0l
P00126	6haw;6fo6;5gpn;2ybb;6zfu;7dgs;6xvf;7dkf;7r3v;1bgy;6fo0;1sqp;1sqx;1be3;1qcr;7dgq;1ntm;1pp9;1bcc;1l0n;2fyu;1ntz;6zfs;6zft;4d6t;5nmi;5okd;1sqb;6fo2;6nhg;1ppj;1ntk;3bcc;1sqq;4d6u;5klv;1l0l;1sqv;1nu1;2bcc;7dgr;2a06;5luf
P00127	3cx5;6ymx;4pd4;1ezv;1kb9;6hu9;1p84;1kyo;3cxh;6giq;6t0b;2ibz;6t15
P00128	6ymx;6t0b;6t15;1ezv;4pd4;1kb9;3cxh;2ibz;1p84;3cx5;6hu9;6giq;1kyo
P00129	6fo0;5luf;1sqx;1sqq;5nmi;1ntk;1ntm;6nhg;6zfs;1nu1;6fo2;1sqp;1sqv;4d6t;4d6u;7dkf;1l0l;2fyu;7r3v;6haw;1ntz;1ppj;1l0n;2bcc;5okd;5klv;1sqb;1qcr;2a06;6fo6;3bcc;2ybb;1be3;1bcc;1bgy;6zft;1pp9;7dgr;7dgq;6xvf;6zfu;7dgs
P00130	7r3v;7dkf;4d6t;4d6u;6fo0;1sqp;5gpn;1be3;1ntz;1sqv;2fyu;6fo2;1qcr;5luf;6zfu;6nhg;1bgy;2ybb;1sqq;5klv;1l0l;5nmi;1sqb;5okd;6haw;7dgr;1l0n;6zft;7dgs;1ntm;1pp9;1sqx;2bcc;2a06;1ppj;1nu1;1bcc;3bcc;6zfs;6fo6;6xvf;7dgq;1ntk
P00131	2cym;2cth;1gx7;2bpn;1mdv;1a2i
P00132	2yyx;1j0p;1wr5;2ffn;2ewu;2yyw;2ewk;2cdv;2ewi;1it1;2yxc;1j0o;2z47
P00133	1qn1;1qn0;1wad
P00136	2cy3
P00137	1lm2;1new;1l3o;1f22;1ehj;1kwj;1hh5
P00138	4cjo;2xlv;2xlm;2yl3;5ngx;2yli;1e86;2xlw;2yl1;1e84;4wgy;1cgo;3ztz;3zqv;3zqy;4cip;4cjg;2xl6;2yl7;4cda;4cdy;5jra;5jsl;5jt4;2xlo;3ztm;5jp7;1e83;2xlh;2xm4;2ylg;4d4x;5jli;3zwi;5js5;5agf;2xld;4cdv;2yl0;2yld;5jua;2xm0;2ykz;5nc0;1e85;4wgz;4d4n;5jve;1cgn;2xl8;2xle
P00142	1jaf;2j9b;2j8w
P00147	1nbb;1cpq;1cpr;1eky;1rcp
P00148	1gqa
P00149	1mqv;1a7v
P00150	1s05
P00152	2ccy
P00154	1bbh;5gyr
P00156	5xth;5xte;5xti
P00157	7dgr;1pp9;6zft;6zfu;1sqq;1qcr;6nhg;1sqv;6haw;5luf;5nmi;7r3v;7dgs;1l0l;1ppj;2fyu;1ntm;5gpn;2ybb;1ntk;4d6u;6fo6;6fo2;2a06;6zfs;4d6t;1sqp;6fo0;1bgy;1sqb;5klv;7dkf;1l0n;1be3;1sqx;5okd;6xvf;1nu1;7dgq;1ntz
P00158	7o3c;7o3h;7o37;7o3e
P00163	1kb9;4pd4;6t15;1p84;1kyo;1ezv;6giq;6hu9;6ymx;2ibz;3cxh;3cx5;6t0b
P00165	6rqf
P00166	6rqf
P00167	2i96
P00169	1do9;2m33
P00171	1hko;1u9u;1lr6;1m20;1f03;1i5u;1m2i;4hin;1cyo;1lqx;1m59;1j0q;3ozz;1ehb;1es1;1sh4;1nx7;1u9m;1f04;1m2m
P00172	3x35;3x32;3x34;3x33
P00173	1bfx;1b5b;5xee;1b5a;1i8c;1aw3;1aqa;1axx;1ib7;1blv;1ieu;5xe4;1iet;1jex;2axx;1i87;1mny
P00175	2oz0;1kbi;1qcw;1lco;1ldc;1kbj;1szg;1fcb;1ltd;1szf;1sze;3ks0
P00178	5iut;3g5n;5em4;4mgj;3tmz;3me6;3kw4;4jlt;3uas;3mvr;3tk3;5iuz;2bdm;1suo;3g93;3r1b;1po5;6bww;2q6n;3r1a;4h1n
P00179	1n6b;1dt6;1nr6
P00183	6cpp;4jwu;3fwg;1phe;1phg;2zaw;7cpp;1pha;2a1o;3p6q;4l4g;4ek1;2qbm;2a1m;1phc;1phf;2h7r;4l4e;2m56;4l4f;3p6x;2cpp;2zwt;2zax;6we6;1phb;2qbn;1re9;2feu;5cpp;4cpp;1p2y;8cpp;3fwf;1yrc;1t86;1phd;3p6n;3p6t;4l4a;1geb;1akd;1cp4;1qmq;2gqx;2fer;3wrh;1t88;1rf9;1mpw;1iwk;3p6m;3p6r;5wk7;5wk9;5gxg;4l4b;2l8m;3wrj;4jx1;5cp4;3ol5;2qbo;4l4c;3w9c;3p6v;1gem;2zuj;1yrd;1t85;2fe6;3wri;3l61;2zwu;4cp4;2a1n;3p6w;1j51;3fwi;1iwi;1gek;1dz8;1gjm;3cp4;2cp4;3wrm;1p7r;2h7s;4l49;3p6s;6nbl;3cpp;2z97;1c8j;1k2o;2h7q;3p6p;4kky;6cp4;2frz;3wrk;3l63;5ik1;4jws;4g3r;1iwj;1t87;3p6u;4l4d;1dz4;1o76;2zuh;3fwj;1uyu;1lwl;3l62;2zui;6wfl;2lqd;2qbl;3p6o;1dz6;1dz9;1noo;3oia;2gr6;3wrl
P00189	3mzs
P00191	3qz1
P00193	1dur
P00195	1clf
P00198	2fdn;1fdn;1fca
P00208	3eun;3exy;1blu
P00209	1f2g;1fxd
P00210	1dfd;1dax;1fxr
P00214	7fd1;1fer;1d3w;1fda;5fd1;1frj;1fdd;1fdb;2fd2;6fd1;1g6b;6fdr;1fd2;1ff2;1frm;7fdr;1ftc;1gao;1frk;1axq;1a6l;1f5b;1f5c;1pc5;1b0v;1fri;1b0t;1frx;1g3o;1frl;1pc4;1frh
P00215	2v2k
P00216	1e0z;1e10
P00217	1doi
P00221	1a70
P00235	1frr
P00237	1wri
P00246	4fxc
P00248	1rfk;3p63
P00250	1fxi;3av8
P00257	1ayf;1l6v;2jqr;1e6e;2bt6;1cje;1l6u
P00259	1oqq;3w9c;1pdx;2m56;1xlo;4jws;1xlp;1put;1yji;1xln;5gxg;1xlq;1yjj;4jx1;1gpx;1oqr;6nbl;1r7s;4jwu;3lb8
P00260	1cku;1neh;1hrr;1b0y;1hip;1hrq;1noe;1js2
P00268	1t9o;5uiw;1be7;4xnv;1c09;6knm;6akx;1r0i;6gps;6li2;1smw;1t9p;1r0h;4rxn;1iro;1b2o;1b2j;7sus;7f1t;1smm;6me6;6me9;4xnw;6bd4;1fhm;1r0j;5rxn;6aky;1t9q;6ln2;1b13;1fhh;1irn;6me7;1r0f;1smu;6me8;1r0g;6iiv;6iiu;5vbl;6gpx;1bfy;2pve;4mbs
P00269	2ql0;2kkd;1rb9;8rxn;7rxn
P00270	1rdg;2dsx;1spw;1e8j
P00272	1s24
P00273	1dhg;1dxg;1dcd;2lk5;2lk6;1cfw
P00276	1aba;1de1;1aaz;1de2
P00280	1a4b;1azc;2aza;1aiz;1azb;1a4a;1a4c;1uri
P00281	2h47;2h3x;2iaa
P00282	4koc;3jtb;2ft6;5yt7;1jzh;1cc3;4hhw;2xv2;6gyi;2ft8;2ghz;1ezl;2i7s;3fs9;1r1c;2ft7;2fta;3in2;7tc6;4hz1;1i53;2tsa;1vlx;1jzf;1jzg;1xb6;4hhg;4wkx;1azu;4ko7;4azu;3np3;3ibo;1e5z;2hx7;1xb3;6iav;3fsw;1jzj;1nzr;2idf;3fpy;3fq1;3fq2;5azu;1ag0;1azn;4mfh;4hip;4ko6;1gr7;2hx9;4qlw;6mjt;3azu;2gi0;3uge;1ils;2i7o;4ko9;3n2j;1jzi;1e67;2hx8;1jze;1xb8;4bww;5syd;5i28;2tsb;3u25;2xv3;6mjr;3fsa;1jvl;1etj;2azu;3oqr;2iwe;1bex;2fnw;4qkt;3ft0;4ko5;2oj1;4jkn;6mjs;1e5y;1e65;2hxa;5i26;1azr;3fqy;3fsz;4k9j;4kob;3jt2;1jvo;3in0;2xv0;1ilu;3fsv;3np4
P00287	9pcy
P00289	1ylb;2pcf;1teg;1oow;1ag6;1tef
P00299	4dp7;6pcy;1jxg;4dp8;3pcy;4pcy;2pcy;1pnd;1tkw;5pcy;4dpc;4dpa;4dp9;1plc;4dpb;1pnc
P00303	2cbp
P00305	1z24
P00306	3brp;1phn;3kvs
P00309	2c7l;2c7j;2c7k;2j96
P00311	3kvs;1phn;3brp
P00313	2c7l;2c7k;2c7j
P00315	1b33
P00318	1b33
P00321	2fz5
P00322	4nll;5ull;2fdx;2flv;2fax;4nul;5nll;2fvx;1fla;1fvx;1fld;1fln;3nll;6nul;5nul;2fox
P00323	6li0;7v3z;5v57;1c7e;1wsb;1wsw;1xyv;1akq;1akw;1azl;1akv;1f4p;1xt6;5zkp;7epe;1j8q;1j9g;5v56;1fx1;1akt;1aku;1i1o;7ddz;5fx2;6li1;7epf;2fx2;5yog;1akr;5yob;5xr8;3fx2;1j9e;5tgz;7k15;5yoc;5yoe;1bu5;1xyy;5xra;1c7f;4fx2
P00324	5k9b;1yob
P00325	1hdz;1hdy;1hsz;1htb;1u3v;1u3u;3hud;1deh;1hdx
P00326	1ht0;1u3w
P00327	7udd;1lde;2jhg;4xd2;5kjf;1adc;7uec;1ldy;5vjg;5kjc;1hf3;5cdu;2jhf;4nfs;4dxh;7k35;1axg;7ude;6owp;6cy3;1qv7;2ohx;4dwv;5kcp;5kj1;1hld;3bto;5kj6;1mg0;6cxx;7uee;6nbb;1n8k;6owm;5adh;5cdg;7uca;1adg;5vj5;1a72;6o91;5kcz;1n92;5vl0;1bto;7uhv;2oxi;6adh;3oq6;6xt2;1axe;1a71;7ua6;7uei;7adh;1qlh;7udr;1ye3;8adh;7uhw;1ju9;4nfh;5vn1;7uef;7jqa;1adf;5kje;1het;1heu;6oa7;5vkr;7uej;1adb;1mgo;1qlj;1qv6;5cds;5cdt;7uc9;7ucu;7uhx;4ng5;1p1r;7rm6
P00328	1ee2
P00330	7kcb;4w6z;5env
P00334	1mg5
P00336	5ldh;5yta;6cep
P00337	5k0z
P00338	6bb3;6sbu;5w8i;4l4r;4l4s;4r69;6baz;6bad;4m49;5w8j;4qsm;4rls;5zje;6sbv;4qo8;5w8k;4jnk;5ixy;6mv8;6q0d;6bb0;6bb1;6bb2;5w8l;6mva;5zjd;4okn;4ajp;4ojn;5zjf;5ixs;6bag;6bax;6q13;7m2n;4r68;1i10;4zvv;4qo7;5w8h;4qt0;6zzr
P00339	9ldb;9ldt
P00341	6ldh;8ldh;1ldm;3ldh
P00342	2ldx
P00343	1llc;2zqy;6jml;2zqz
P00344	1ldb;2ldb;1ldn
P00346	1mld
P00347	8djk;8djm
P00348	3hdh
P00349	1pgp;1pgn;2pgd;1pgo;1pgq
P00350	3fwn;2zyd;2zya
P00352	5l2n;4wpn;7jwt;6dum;5ac2;7jws;7jww;4wb9;4wj9;7jwv;4wp7;5l2o;5l2m;5tei;4x4l;7jwu
P00355	5tso;5ddi
P00357	4gpd;1gpd
P00359	4iq8;3pym
P00361	2g82;1cer
P00362	1dbv;1npt;1nqa;4dbv;1nqo;3cmc;2dbv;1gd1;3dbv;2gd1;1nq5
P00363	3p4r;6awf;3p4p;1kf6;5vpn;3cir;2b76;3p4s;1kfy;1l0v;3p4q;4kx6;6b58
P00366	1nqt;6dhn;6dhl;1hwy;3jd2;1nr7;3etd;6dhq;3ete;3jd0;3jd4;6dhk;3jcz;3etg;6dhd;7vda;6dhm;3jd3;3jd1;5k12
P00367	6dqg;1l1f;1nr1
P00370	4bht;2yfh;3sbo
P00371	1evi;4yjg;4yjf;4yjh;1ddo;5wwv;1ve9;4yjd;1kif;3wgt;5wx2;1dao;1an9
P00374	4m6k;4m6l;1dhf;1mvs;3f8y;5sd8;5sdb;4keb;2dhf;3eig;3nzd;1boz;2c2s;1pd8;3f91;4m6j;3ghc;7ese;5sda;1dlr;3l3r;1mvt;1kmv;3ntz;5hsu;1dls;3gi2;3nxv;3n0h;4kbn;6a7e;2w3a;6dav;5hqy;1kms;5hve;1s3v;1pdb;3oaf;5ht5;1s3w;1ohj;3fs6;1hfr;3f8z;1yho;4ddr;3nu0;1u72;3nxx;6a7c;2w3m;4qhv;5ht4;1ohk;5sd6;3ghw;3nxt;6vcj;6de4;2w3b;5hpb;5hvb;1drf;3s7a;5sd7;2c2t;3gyf;4kak;4g95;4kfj;1u71;3ghv;3nxo;5sd9;7xi7;1hfq;4kd7;5hsr;5hui;3nxr;4qjc;3nxy;3s3v;5hqz;1hfp;1pd9;1s3u
P00375	3d84;3d80;3k45;1u70;3k47;2fzj
P00378	1dr5;1dr4;1dr2;1dr7;8dfr;1dr6;1dr1;1dr3
P00381	2hqp;2hm9;2lf1;1ao8;1dis;1lud;3dfr;1diu;2l28;1bzf
P00382	7reg;7rgj
P00383	2gqv;6nxz;3sfm;1vie;2rk1;1vif;2rk2;2rh2;6ny0;2p4t
P00387	1umk
P00388	1ja0;6j7i;5urd;7l18;4yau;4yao;5uri;4yaw;4yaf;3wkt;1amo;3ojx;5ure;3es9;5urg;5urh;6njr;4y9u;4y7c;4yal;6j7a;6j79;1j9z;1ja1;4y9r;3ojw
P00390	5grt;1grh;1k4q;1gra;1grt;1gsn;1dnc;3grs;1grg;3dk4;3dk8;1alg;2gh5;2aaq;4gr1;1xan;3sqp;1gre;3djg;3grt;2grt;1grf;4grt;3djj;3dk9;1bwc;1grb
P00392	4k8d;2kt2;4k7z;2kt3;1zk7;1zx9
P00395	5z62
P00396	3ag3;3aso;5wau;5x19;5xth;5xdx;5z84;7coh;7dkf;5zcq;3abm;2occ;7dgs;1ocz;6nmf;2y69;6nkn;7tie;2ybb;3ag4;2dyr;3wg7;6jy3;5x1b;2dys;6nmp;1v54;1v55;5luf;5iy5;6j8m;2ein;7cp5;3abk;6juw;5z86;7tih;7ev7;7y44;1ocr;5zco;5xti;6jy4;5w97;3abl;5gpn;7thu;3ag2;5z85;5zcp;5b3s;2zxw;7d5w;2eil;1occ;2eij;3x2q;5xdq;3ag1;5x1f;5b1b;8d4t;7dgq;7dgr;1oco;2eim;3asn;7d5x;2eik;5b1a;7tii
P00397	7o3e;7o37;7o3c
P00401	8dh6;6ymx;6t0b;6t15;7z10;6giq;6ymy;6hu9
P00403	3vrj;5z62
P00405	7o37;7o3c;7o3e
P00410	6t0b;8dh6;6t15;6hu9;7z10;6giq;6ymx;6ymy
P00414	5z62
P00415	1v55;2y69;2zxw;5xth;5z86;7d5x;2eil;2occ;7cp5;7thu;7ev7;3asn;3ag1;1occ;7dgr;7d5w;6nmp;5z84;5xti;5xdq;5xdx;1oco;2eim;7tii;1ocr;2dyr;5x19;5zco;3abl;7tih;3ag4;7dgs;5w97;5zcp;6nkn;2ein;2dys;2ybb;3ag2;3ag3;3wg7;6jy3;5x1f;6j8m;2eij;3x2q;5iy5;7dgq;7tie;5b1a;8d4t;7coh;1ocz;6nmf;5x1b;3aso;5wau;3abm;5b3s;6jy4;5zcq;5luf;5b1b;7y44;3abk;7dkf;6juw;5z85;2eik;1v54
P00416	7o37;7o3e;7o3c
P00420	6hu9;6giq;6ymx;7z10;6ymy;6t15;8dh6;6t0b
P00423	5zcp;3abm;7dgq;2eik;3abk;5b1a;2dyr;7d5x;5b3s;1v55;5luf;5iy5;5z86;1ocz;5x19;6juw;5xti;1oco;7tie;1ocr;3wg7;6jy3;6nmp;5z84;7d5w;1v54;3asn;6j8m;5x1b;2zxw;6nkn;5xdx;2ein;3x2q;7dgs;7cp5;1occ;6jy4;5wau;5gpn;5b1b;5xdq;7coh;2ybb;3ag4;2eim;6nmf;5z85;7dkf;5x1f;2eil;5zco;7dgr;3ag2;2eij;3abl;2occ;2y69;5xth;8d4t;7tii;7y44;3ag1;3ag3;3aso;5zcq;5w97;7tih;7ev7;7thu;2dys
P00424	6ymx;7z10;6giq;6ymy;6hu9;8dh6
P00425	6t15;6t0b
P00426	3ag2;5x1b;2eil;5xti;7dgr;2eij;1v54;5z85;1occ;5x19;5z84;5zcp;6j8m;3abm;7y44;7tih;7tii;5luf;6juw;2dyr;3ag1;5x1f;3wg7;5wau;7d5x;2y69;6jy4;5zco;3abk;5b1a;7ev7;2ein;8d4t;7dgs;1oco;5w97;6jy3;7dgq;1ocz;2dys;7dkf;7d5w;1ocr;2eik;2zxw;7thu;3ag4;3aso;5b3s;6nmp;5zcq;2occ;3x2q;5z86;5xth;5xdq;7coh;3abl;5xdx;5b1b;3ag3;2eim;6nmf;3asn;7cp5;1v55;5gpn;6nkn;5iy5;7tie;2ybb
